peak_day,peak_price,valley_day,valley_price,drop_percent
2022-04-21 12:00:00,42709.74609375,2022-04-26 20:00:00,38084.5390625,0.10829394820323779
2022-04-28 17:00:00,40187.45703125,2022-05-05 15:00:00,36914.73828125,0.08143632346418722
2022-05-05 16:00:00,37056.87890625,2022-05-12 06:00:00,26759.84765625,0.27787097979973985
2022-05-12 16:00:00,29695.546875,2022-05-12 18:00:00,28267.072265625,0.048104000757689364
2022-05-13 14:00:00,30759.517578125,2022-05-14 15:00:00,28796.248046875,0.06382640840395373
2022-05-15 23:00:00,31308.19140625,2022-05-18 23:00:00,28734.208984375,0.08221434411446585
2022-05-20 11:00:00,30453.064453125,2022-05-20 16:00:00,28884.3515625,0.051512480559703526
2022-05-23 06:00:00,30483.220703125,2022-05-27 17:00:00,28380.693359375,0.06897326776020286
2022-05-31 16:00:00,32194.5703125,2022-06-07 02:00:00,29395.208984375,0.08695134927885986
2022-06-07 21:00:00,31424.46484375,2022-06-14 01:00:00,21049.525390625,0.3301548492460156
2022-06-14 07:00:00,22880.97265625,2022-06-18 20:00:00,17744.896484375,0.2244693112061417
2022-06-18 22:00:00,19072.544921875,2022-06-19 05:00:00,18128.80078125,0.04948181506404975
2022-06-19 22:00:00,20638.662109375,2022-06-20 01:00:00,19730.775390625,0.043989611048363325
2022-06-20 10:00:00,20843.546875,2022-06-20 18:00:00,20017.994140625,0.03960711386242895
2022-06-21 14:00:00,21569.9296875,2022-06-22 20:00:00,19985.23046875,0.07346798259005684
2022-06-26 11:00:00,21700.103515625,2022-06-30 20:00:00,18741.2265625,0.13635312619566456
2022-07-01 01:00:00,20385.322265625,2022-07-03 13:00:00,18986.580078125,0.06861516189315517
2022-07-05 00:00:00,20398.060546875,2022-07-05 13:00:00,19401.591796875,0.048851151692098485
2022-07-08 03:00:00,22096.951171875,2022-07-13 12:00:00,19134.02734375,0.13408744967026082
2022-07-17 06:00:00,21543.552734375,2022-07-17 23:00:00,20788.42578125,0.03505118038957965
2022-07-18 15:00:00,22533.728515625,2022-07-18 20:00:00,21542.22265625,0.04400096764667617
2022-07-18 23:00:00,22441.337890625,2022-07-19 06:00:00,21723.6328125,0.031981385495952336
2022-07-20 15:00:00,24169.68359375,2022-07-26 15:00:00,20787.1640625,0.1399488544452721
2022-07-30 15:00:00,24562.41015625,2022-08-04 19:00:00,22499.123046875,0.08400181807280784
2022-08-08 13:00:00,24174.509765625,2022-08-10 00:00:00,22798.806640625,0.056907177780961014
2022-08-11 12:00:00,24768.63671875,2022-08-12 11:00:00,23695.3828125,0.04333116587872358
2022-08-15 02:00:00,24887.189453125,2022-08-19 23:00:00,20875.01953125,0.16121426364483296
2022-08-26 13:00:00,21730.65234375,2022-08-28 23:00:00,19627.99609375,0.09675992311407759
2022-08-30 04:00:00,20463.345703125,2022-08-30 16:00:00,19649.369140625,0.039777296162068744
2022-08-31 03:00:00,20390.775390625,2022-09-07 02:00:00,18661.59765625,0.08480196075182204
2022-09-13 11:00:00,22539.365234375,2022-09-19 08:00:00,18454.587890625,0.1812285883508497
2022-09-19 22:00:00,19633.818359375,2022-09-20 17:00:00,18852.37890625,0.039800686693827365
2022-09-21 18:00:00,19644.19140625,2022-09-22 00:00:00,18417.990234375,0.06242054694523449
2022-09-23 04:00:00,19456.26953125,2022-09-23 18:00:00,18671.970703125,0.040310853366072354
2022-09-27 12:00:00,20296.447265625,2022-09-28 02:00:00,18626.537109375,0.08227598329872425
2022-09-30 14:00:00,19956.736328125,2022-10-02 23:00:00,19042.904296875,0.04579065515648156
2022-10-06 04:00:00,20376.830078125,2022-10-11 18:00:00,18976.8828125,0.06870289737204394
2022-10-12 21:00:00,19178.078125,2022-10-13 12:00:00,18403.58984375,0.040384040371615706
2022-10-14 01:00:00,19885.359375,2022-10-20 00:00:00,18993.00390625,0.04487499833027282
2022-10-26 15:00:00,20840.685546875,2022-10-28 07:00:00,20099.41015625,0.035568666345342566
2022-10-29 09:00:00,20934.533203125,2022-11-02 22:00:00,20102.873046875,0.03972671127559959
2022-11-05 03:00:00,21427.8671875,2022-11-09 21:00:00,15841.7724609375,0.26069298813934977
2022-11-10 16:00:00,17797.34765625,2022-11-10 17:00:00,17202.9296875,0.03339924466448543
2022-11-10 20:00:00,17989.99609375,2022-11-14 05:00:00,15876.611328125,0.11747555444768674
2022-11-14 12:00:00,16791.791015625,2022-11-14 20:00:00,16270.5732421875,0.031040034559297425
2022-11-15 17:00:00,16996.9140625,2022-11-21 21:00:00,15652.8291015625,0.07907817595565371
2022-11-24 01:00:00,16748.58984375,2022-11-28 02:00:00,16132.9521484375,0.03675758383576602
2022-12-05 08:00:00,17361.818359375,2022-12-07 07:00:00,16774.42578125,0.03383243425120969
2022-12-14 18:00:00,18314.56640625,2022-12-19 22:00:00,16403.0859375,0.10436940882737422
2023-01-18 14:00:00,21422.412109375,2023-01-18 16:00:00,20619.494140625,0.03748027834823616
2023-01-21 19:00:00,23268.58984375,2023-01-22 20:00:00,22459.880859375,0.03475539299139012
2023-01-25 21:00:00,23569.76171875,2023-01-27 01:00:00,22672.63671875,0.03806254007592819
2023-01-29 19:00:00,23900.70703125,2023-01-30 20:00:00,22723.08984375,0.04927122808376648
2023-02-02 00:00:00,24158.6328125,2023-02-06 23:00:00,22759.40234375,0.057918445948895725
2023-02-08 00:00:00,23320.03125,2023-02-13 17:00:00,21471.73046875,0.07925807480425225
2023-02-16 16:00:00,24967.267578125,2023-02-16 23:00:00,23611.830078125,0.05428857986796932
2023-02-21 06:00:00,25014.833984375,2023-02-25 21:00:00,22916.07421875,0.08390060741302328
2023-03-01 08:00:00,23875.796875,2023-03-08 05:00:00,21988.64453125,0.07904039197644581
2023-03-08 15:00:00,22157.587890625,2023-03-10 10:00:00,19673.7265625,0.1120998070902806
2023-03-11 05:00:00,20792.525390625,2023-03-11 12:00:00,20069.201171875,0.03478770400233031
2023-03-14 16:00:00,25954.701171875,2023-03-15 16:00:00,24157.134765625,0.0692578348078951
2023-03-19 18:00:00,28338.22265625,2023-03-20 03:00:00,27350.666015625,0.034848926575400244
2023-03-22 16:00:00,28680.650390625,2023-03-28 10:00:00,26735.91015625,0.06780669921664984
2023-03-30 02:00:00,28989.052734375,2023-04-03 20:00:00,27610.015625,0.047570961425026086
2023-04-14 06:00:00,30962.3359375,2023-04-20 19:00:00,28124.3359375,0.09165975092217636
2023-04-21 03:00:00,28331.060546875,2023-04-24 16:00:00,27156.021484375,0.04147529389363471
2023-04-26 12:00:00,29995.837890625,2023-05-01 20:00:00,27680.79296875,0.07717887162600488
2023-05-06 00:00:00,29695.93359375,2023-05-12 06:00:00,26294.310546875,0.1145484460401315
2023-05-15 17:00:00,27512.625,2023-05-18 17:00:00,26469.55859375,0.03791228231584591
2023-05-23 05:00:00,27407.89453125,2023-05-25 01:00:00,26096.41796875,0.04785032141030306
2023-05-29 00:00:00,28231.98828125,2023-06-01 02:00:00,26721.234375,0.05351213280480683
2023-06-03 15:00:00,27309.61328125,2023-06-06 12:00:00,25513.59765625,0.0657649599979174
2023-06-06 23:00:00,27240.96875,2023-06-10 05:00:00,25520.455078125,0.0631590486984792
2023-06-13 11:00:00,26186.076171875,2023-06-15 08:00:00,24865.142578125,0.05044412095496541
2023-06-23 17:00:00,31256.056640625,2023-06-30 13:00:00,30002.42578125,0.04010841398801395
2023-07-06 08:00:00,31303.9140625,2023-07-06 23:00:00,29931.939453125,0.043827573977994465
2023-07-13 19:00:00,31663.47265625,2023-07-20 18:00:00,29687.333984375,0.062410674070044976
2023-07-23 18:00:00,30259.923828125,2023-07-24 17:00:00,29033.6171875,0.04052576759909795
2023-08-02 01:00:00,29855.099609375,2023-08-07 15:00:00,28820.361328125,0.03465867790724352
2023-08-09 12:00:00,30043.49609375,2023-08-16 05:00:00,29110.46875,0.03105588446958739
2023-08-16 07:00:00,29167.849609375,2023-08-22 21:00:00,25620.4296875,0.12162089318832761
2023-08-23 19:00:00,26639.783203125,2023-08-25 14:00:00,25831.134765625,0.030354918106283272
2023-08-29 18:00:00,27975.12890625,2023-09-01 17:00:00,25452.599609375,0.09017042621424472
2023-09-08 00:00:00,26391.982421875,2023-09-11 19:00:00,25001.41015625,0.0526891933844433
